Kruskal's Using Unordered Map Results
(1,1134,1)
(3,225,1)
(4,88,1)
(5,298,1)
(14,109,1)
(16,595,1)
(19,1811,1)
(43,466,1)
(45,598,1)
(47,1826,1)
(48,206,1)
(49,277,1)
(61,1799,1)
(79,1812,1)
(84,169,1)
(88,1484,1)
(102,1742,1)
(111,523,1)
(114,146,1)
(117,522,1)
(152,1774,1)
(169,448,1)
(232,1562,1)
(237,1717,1)
(251,1002,1)
(280,1405,1)
(0,690,2)
(0,1173,2)
(1,851,2)
(2,96,2)
(3,146,2)
(5,119,2)
(21,319,2)
(22,124,2)
(35,217,2)
(38,1234,2)
(38,1734,2)
(44,121,2)
(49,133,2)
(52,117,2)
(58,173,2)
(62,196,2)
(65,339,2)
(67,192,2)
(77,181,2)
(81,113,2)
(88,257,2)
(99,191,2)
(103,1201,2)
(163,342,2)
(175,500,2)
(240,831,2)
(246,1482,2)
(252,377,2)
(273,281,2)
(288,363,2)
(0,1297,3)
(2,1461,3)
(2,1502,3)
(5,575,3)
(5,884,3)
(9,1048,3)
(9,1127,3)
(9,1523,3)
(13,21,3)
(15,504,3)
(15,659,3)
(19,692,3)
(19,1617,3)
(25,48,3)
(36,235,3)
(38,239,3)
(49,1822,3)
(52,113,3)
(52,1507,3)
(56,290,3)
(57,215,3)
(58,67,3)
(59,1577,3)
(85,192,3)
(113,213,3)
(113,124,3)
(124,237,3)
(131,202,3)
(149,647,3)
(217,592,3)
(0,2,4)
(0,75,4)
(0,1156,4)
(1,204,4)
(2,99,4)
(2,179,4)
(3,111,4)
(4,9,4)
(4,205,4)
(4,230,4)
(5,12,4)
(5,250,4)
(7,24,4)
(8,12,4)
(10,453,4)
(10,27,4)
(12,21,4)
(16,1702,4)
(26,68,4)
(35,691,4)
(38,587,4)
(42,1144,4)
(45,1485,4)
(48,58,4)
(52,63,4)
(63,994,4)
(69,441,4)
(75,118,4)
(79,169,4)
(94,860,4)
(94,1500,4)
(103,1332,4)
(105,835,4)
(115,192,4)
(116,848,4)
(121,1064,4)
(123,306,4)
(124,1591,4)
(149,1671,4)
(161,167,4)
(167,610,4)
(181,1152,4)
(185,1194,4)
(187,531,4)
(205,1250,4)
(218,668,4)
(0,181,5)
(1,717,5)
(2,114,5)
(2,304,5)
(3,12,5)
(3,53,5)
(5,122,5)
(10,11,5)
(15,1496,5)
(16,1089,5)
(16,1630,5)
(41,124,5)
(45,1008,5)
(49,92,5)
(69,334,5)
(71,1594,5)
(72,124,5)
(77,1115,5)
(88,1207,5)
(96,148,5)
(116,1191,5)
(124,221,5)
(128,564,5)
(128,1231,5)
(131,222,5)
(145,1380,5)
(176,1026,5)
(180,894,5)
(208,1190,5)
(239,651,5)
(247,372,5)
(2,19,6)
(2,1615,6)
(3,348,6)
(4,288,6)
(4,1093,6)
(5,282,6)
(7,124,6)
(7,153,6)
(8,82,6)
(10,54,6)
(13,142,6)
(16,623,6)
(16,1578,6)
(20,1759,6)
(21,52,6)
(25,1589,6)
(25,208,6)
(27,62,6)
(28,219,6)
(35,1830,6)
(45,244,6)
(47,1514,6)
(48,290,6)
(57,61,6)
(70,77,6)
(73,96,6)
(74,90,6)
(81,151,6)
(83,216,6)
(88,869,6)
(102,579,6)
(102,1647,6)
(103,132,6)
(111,644,6)
(113,236,6)
(115,160,6)
(115,1019,6)
(130,265,6)
(159,627,6)
(207,959,6)
(255,1299,6)
(268,1181,6)
(0,364,7)
(3,35,7)
(3,188,7)
(5,102,7)
(5,214,7)
(7,87,7)
(16,660,7)
(16,891,7)
(23,783,7)
(32,1145,7)
(41,239,7)
(52,1349,7)
(67,207,7)
(69,1293,7)
(71,757,7)
(77,1704,7)
(88,1283,7)
(99,1237,7)
(110,114,7)
(111,880,7)
(132,414,7)
(183,243,7)
(188,1355,7)
(220,711,7)
(224,858,7)
(256,558,7)
(2,163,8)
(3,279,8)
(4,782,8)
(9,1167,8)
(10,95,8)
(11,136,8)
(15,245,8)
(41,536,8)
(45,1136,8)
(88,208,8)
(88,1467,8)
(113,855,8)
(116,188,8)
(116,895,8)
(163,529,8)
(3,80,9)
(3,220,9)
(20,960,9)
(23,83,9)
(29,84,9)
(34,230,9)
(46,110,9)
(48,116,9)
(48,1633,9)
(52,1075,9)
(70,1580,9)
(73,265,9)
(102,1074,9)
(103,1164,9)
(106,193,9)
(115,488,9)
(123,1781,9)
(125,1162,9)
(141,1724,9)
(154,270,9)
(176,577,9)
(231,1629,9)
(236,1001,9)
(267,295,9)
(0,439,10)
(0,632,10)
(0,842,10)
(2,291,10)
(2,1394,10)
(2,1489,10)
(4,315,10)
(5,197,10)
(7,103,10)
(23,481,10)
(27,120,10)
(35,501,10)
(45,190,10)
(56,209,10)
(67,105,10)
(71,76,10)
(74,547,10)
(77,189,10)
(82,1353,10)
(85,1738,10)
(88,145,10)
(88,1560,10)
(107,192,10)
(111,1572,10)
(118,1574,10)
(130,1051,10)
(170,1358,10)
(171,1581,10)
(176,1377,10)
(182,1406,10)
(184,549,10)
(187,919,10)
(212,665,10)
(231,1540,10)
(280,1100,10)
(0,28,11)
(2,334,11)
(3,144,11)
(4,824,11)
(7,112,11)
(8,477,11)
(9,417,11)
(10,800,11)
(10,178,11)
(11,1219,11)
(21,1766,11)
(29,400,11)
(31,1052,11)
(40,45,11)
(45,306,11)
(45,516,11)
(49,56,11)
(75,249,11)
(97,124,11)
(106,1167,11)
(128,349,11)
(130,1013,11)
(188,709,11)
(229,1005,11)
(0,1698,12)
(1,21,12)
(10,1697,12)
(16,29,12)
(25,86,12)
(27,229,12)
(43,49,12)
(45,215,12)
(51,124,12)
(52,430,12)
(82,162,12)
(92,490,12)
(111,1454,12)
(124,147,12)
(149,823,12)
(157,751,12)
(157,950,12)
(181,1798,12)
(185,1202,12)
(233,870,12)
(252,1536,12)
(7,1535,13)
(14,324,13)
(16,21,13)
(18,656,13)
(19,331,13)
(32,117,13)
(36,152,13)
(77,431,13)
(77,1307,13)
(77,1754,13)
(82,966,13)
(102,412,13)
(120,1462,13)
(170,359,13)
(172,1189,13)
(195,218,13)
(263,373,13)
(278,931,13)
(2,360,14)
