Kruskal's Using Unordered Map Results
(0,48,4)
(1,4,4)
(8,37,4)
(12,15,6)
(6,7,9)
(10,50,10)
(12,20,11)
(4,44,12)
(5,28,12)
(8,39,12)
(12,26,12)
(2,5,13)
(6,12,14)
(7,19,14)
(4,5,16)
(13,35,16)
(12,62,17)
(1,15,19)
(11,31,19)
(1,8,20)
(7,14,20)
(0,2,21)
(12,51,24)
(9,12,25)
(10,12,25)
(0,11,29)
(8,13,34)
(0,3,35)
(8,55,36)
(9,27,36)
(12,36,36)
(3,16,42)
(4,43,42)
(1,18,45)
(12,25,45)
(13,61,45)
(1,17,53)
(7,66,54)
(8,60,54)
(12,52,57)
(11,32,58)
(8,53,59)
(13,59,60)
(5,46,62)
(7,47,62)
(3,57,66)
(4,67,68)
(7,38,68)
(4,58,70)
(7,23,73)
(7,29,76)
(3,33,77)
(15,30,77)
(9,41,78)
(12,40,80)
(6,34,81)
(12,42,82)
(4,54,85)
(12,63,90)
(1,21,93)
(12,64,93)
(13,24,93)
(0,56,94)
(4,22,95)
(12,49,97)
(12,45,99)
(12,65,100)
Total Weight of MST: 3138
