Kruskal's Using Unordered Map Results
(11,38,1)
(2,7,2)
(9,22,2)
(10,29,2)
(17,21,2)
(7,63,3)
(9,51,3)
(9,108,5)
(2,10,6)
(12,100,6)
(15,58,6)
(6,18,7)
(9,13,7)
(9,61,7)
(1,5,10)
(3,24,10)
(7,88,10)
(9,96,10)
(13,103,10)
(11,75,12)
(8,28,13)
(11,37,13)
(10,11,15)
(3,10,16)
(1,7,17)
(4,7,17)
(5,26,18)
(6,19,19)
(9,17,19)
(11,85,19)
(14,60,19)
(0,5,20)
(5,16,20)
(7,45,20)
(3,47,22)
(8,9,22)
(11,71,22)
(20,76,22)
(5,18,23)
(11,44,23)
(12,31,23)
(6,17,24)
(11,101,24)
(11,74,25)
(14,23,26)
(8,90,27)
(15,70,27)
(9,105,30)
(9,34,31)
(9,15,32)
(11,30,32)
(9,106,33)
(8,84,34)
(9,55,36)
(9,89,36)
(4,50,37)
(9,72,39)
(4,41,40)
(10,20,40)
(7,104,41)
(11,69,42)
(11,42,43)
(11,77,43)
(3,14,46)
(8,48,48)
(11,98,48)
(11,79,53)
(6,32,54)
(9,12,58)
(11,91,59)
(8,39,60)
(7,57,61)
(6,99,63)
(2,95,64)
(21,87,64)
(8,40,65)
(11,86,65)
(18,43,65)
(18,54,65)
(18,25,69)
(11,68,71)
(9,83,75)
(17,62,75)
(9,93,77)
(2,92,78)
(11,107,78)
(9,102,79)
(9,94,80)
(4,52,81)
(11,49,82)
(2,64,83)
(2,97,83)
(8,33,83)
(9,73,84)
(18,65,85)
(11,81,86)
(10,59,87)
(16,80,87)
(6,53,90)
(11,66,91)
(18,56,92)
(17,36,93)
(11,35,94)
(12,27,95)
(6,78,97)
(13,46,99)
(4,82,100)
(9,67,100)
Total Weight of MST: 4677
