Kruskal's Using Unordered Map Results
(0,30,1)
(2,30,1)
(13,18,1)
(17,75,1)
(18,20,1)
(0,14,2)
(7,111,2)
(10,158,2)
(11,136,2)
(17,171,2)
(14,21,3)
(14,152,3)
(28,90,3)
(11,18,4)
(1,157,5)
(12,116,5)
(14,19,5)
(0,8,6)
(4,26,6)
(6,50,6)
(14,79,6)
(12,166,7)
(17,37,7)
(0,31,8)
(2,34,9)
(13,29,9)
(14,33,9)
(14,127,9)
(7,23,10)
(16,55,10)
(16,64,10)
(4,11,11)
(10,30,11)
(16,108,11)
(14,97,12)
(22,134,12)
(28,59,12)
(0,4,13)
(17,67,13)
(14,143,14)
(16,173,14)
(18,129,14)
(18,112,16)
(9,28,17)
(15,52,17)
(16,125,17)
(0,71,18)
(14,84,18)
(15,153,18)
(8,12,19)
(23,101,19)
(2,36,20)
(5,9,20)
(11,16,20)
(14,120,20)
(30,72,20)
(22,131,21)
(14,98,22)
(14,100,22)
(17,133,22)
(22,28,22)
(1,12,23)
(2,83,23)
(16,160,23)
(12,169,24)
(16,68,24)
(28,31,24)
(14,35,25)
(5,163,26)
(14,17,26)
(14,42,26)
(17,87,26)
(17,170,26)
(19,110,26)
(14,69,27)
(14,86,27)
(14,146,28)
(17,65,28)
(21,25,28)
(6,39,29)
(19,91,29)
(2,92,30)
(6,151,30)
(14,38,30)
(14,76,31)
(15,24,31)
(17,162,31)
(14,139,32)
(11,23,33)
(2,81,34)
(15,144,34)
(20,123,34)
(12,74,35)
(5,118,36)
(14,95,36)
(16,164,37)
(14,60,39)
(14,105,39)
(17,27,39)
(24,149,39)
(14,15,40)
(14,167,40)
(3,10,41)
(17,142,41)
(14,115,43)
(3,6,44)
(14,48,44)
(12,172,45)
(14,53,45)
(16,80,45)
(14,122,46)
(14,159,48)
(22,66,48)
(14,94,49)
(14,109,49)
(14,43,51)
(15,85,53)
(23,49,53)
(27,56,53)
(6,114,54)
(4,137,55)
(14,45,55)
(18,154,55)
(4,41,56)
(14,107,56)
(17,103,56)
(4,70,59)
(16,130,60)
(22,58,60)
(4,62,64)
(16,174,64)
(12,63,67)
(14,128,68)
(15,44,68)
(17,77,68)
(14,165,69)
(21,82,69)
(16,57,71)
(17,126,71)
(17,155,73)
(15,117,74)
(16,54,74)
(17,78,74)
(22,147,74)
(18,73,75)
(27,148,76)
(28,51,77)
(16,135,78)
(5,121,79)
(17,93,79)
(17,145,79)
(23,124,79)
(14,88,80)
(18,99,80)
(10,132,81)
(10,102,82)
(24,61,82)
(0,47,86)
(1,150,86)
(3,40,86)
(0,119,88)
(27,96,89)
(16,141,91)
(6,104,92)
(8,138,92)
(6,168,94)
(2,106,95)
(13,113,95)
(14,156,95)
(17,161,99)
(23,89,99)
(2,46,100)
(12,32,100)
(14,140,100)
Total Weight of MST: 6934
